courseId,title,instructor,platform,category,rating,url
739770,PHP MySQL: Learn PHP MySQL with Project,Udemy Expert,Udemy,Web Dev,4.3,https://www.udemy.com/php-mysql-project-learning/
599532,How to Set Up a Self-Hosted Wordpress Website in 30 Minutes,Udemy Expert,Udemy,Web Dev,4.5,https://www.udemy.com/how-to-set-up-a-wordpress-website-custom-domain-in-30-mins/
270808,Projects in Django and Python,Udemy Expert,Udemy,Web Dev,4.3,https://www.udemy.com/projects-in-django-and-python/
106156,"Create, Update and Manage Your Own Website Using Drupal 7",Udemy Expert,Udemy,Web Dev,4.3,https://www.udemy.com/getting-to-know-drupal/
589342,Learn HTML - The programming language to build a webpage!,Udemy Expert,Udemy,Web Dev,4.3,https://www.udemy.com/takethefirststep/
37684,Learn To Program JavaScript (in ten easy steps),Udemy Expert,Udemy,Web Dev,4.4,https://www.udemy.com/learn-to-program-javascript-in-ten-easy-steps/
964118,Bootstrap :basics for beginners,Udemy Expert,Udemy,Web Dev,4.2,https://www.udemy.com/bootstrap-basics-for-beginners/
212374,Introduction to CSS Development,Udemy Expert,Udemy,Web Dev,4.6,https://www.udemy.com/refactoru-intro-to-css/
970252,PHP :basics for beginners,Udemy Expert,Udemy,Web Dev,4.1,https://www.udemy.com/php-basics-for-beginners-new/
465870,Beginning Oracle WebLogic for Administrators,Udemy Expert,Udemy,Web Dev,4.6,https://www.udemy.com/learn-oracle-weblogic-12c-essentials/
442504,Build an HTML5 and CSS3 Website in 35 Minutes,Udemy Expert,Udemy,Web Dev,4.2,https://www.udemy.com/build-an-html5-and-css3-website-in-35-minutes/
1121650,Angular 2 Routing: Up And Running,Udemy Expert,Udemy,Web Dev,4.4,https://www.udemy.com/angular-2-routing-up-and-running/
737758,Advanced Prezi: Make Amazing Presentations ,Udemy Expert,Udemy,Web Dev,4.2,https://www.udemy.com/prezi-advanced/
72262,1 hour jQuery,Udemy Expert,Udemy,Web Dev,4.4,https://www.udemy.com/1-hour-jquery/
443746,The WpFASTER WordPress Speed Optimization Master Course,Udemy Expert,Udemy,Web Dev,4.4,https://www.udemy.com/make-your-wordpress-sites-fastest-in-world/
416282,How to Build Your Own Website with WordPress: A Step-by-Step Guide ,Udemy Expert,Udemy,Web Dev,4.3,https://www.udemy.com/build-your-own-website-with-wordpress-a-step-by-step-guide/
645714,Build Apps with ReactJS: The Complete Course,Udemy Expert,Udemy,Web Dev,4.3,https://www.udemy.com/build-apps-with-reactjs-the-complete-course/
929260,Learn SASS: from beginner to expert,Udemy Expert,Udemy,Web Dev,4.2,https://www.udemy.com/learn-sass-from-beginner-to-expert/
683394,The complete HTML5 course,Udemy Expert,Udemy,Web Dev,4.2,https://www.udemy.com/learn-html-by-building-websites/
311916,Create a Responsive Website with Bootstrap 3,Udemy Expert,Udemy,Web Dev,4.3,https://www.udemy.com/create-a-responsive-website-with-bootstrap-3/
1009166,Lerning PHP by building website,Udemy Expert,Udemy,Web Dev,4.2,https://www.udemy.com/lerning-php-by-building-website/
947116,Learn PHP Object Oriented Features with Simple Examples,Udemy Expert,Udemy,Web Dev,4.2,https://www.udemy.com/learn-php-object-oriented-features-with-simple-examples/
835712,Crash Course - Learn to Create a PHP MVC Framework,Udemy Expert,Udemy,Web Dev,4.3,https://www.udemy.com/crash-course-learn-to-create-a-php-mvc-framework/
954036,JSON :basics for beginners,Udemy Expert,Udemy,Web Dev,4.2,https://www.udemy.com/learn-json/
